,Principal Component,Coefficient,1_largest_var,1_largest_val,2_largest_var,2_largest_val,3_largest_var,3_largest_val,4_largest_var,4_largest_val,5_largest_var,5_largest_val
61,PC-62,1.2556649594,AreaShape_Zernike_8_2,0.3958263933963099,AreaShape_Zernike_4_0,-0.26830923281068475,AreaShape_NormalizedMoment_3_3,0.2569866105233327,AreaShape_HuMoment_1,0.2548900056604788,AreaShape_Zernike_6_6,-0.22432012453253025
12,PC-13,0.5125234139,Neighbors_NumberOfNeighbors_8,0.40741570876460187,Neighbors_PercentTouching_8,0.3825417857517794,Neighbors_SecondClosestDistance_8,-0.3152518451508653,Neighbors_FirstClosestDistance_8,-0.2161846789163642,AreaShape_Zernike_3_1,-0.20896400656974748
13,PC-14,0.4910270651,AreaShape_NormalizedMoment_1_2,-0.38641972343623726,AreaShape_NormalizedMoment_3_2,-0.3482328882404118,AreaShape_CentralMoment_1_3,0.3238612219565678,AreaShape_NormalizedMoment_3_3,-0.31946093100511525,AreaShape_CentralMoment_1_1,0.28565909839017056
39,PC-40,0.3953430712,AreaShape_Orientation,-0.4414030468531474,AreaShape_CentralMoment_1_3,-0.3829724365932275,AreaShape_NormalizedMoment_3_3,-0.2819010485019346,AreaShape_InertiaTensor_0_1,-0.24819629627883852,AreaShape_InertiaTensor_1_0,-0.24819629627883824
16,PC-17,0.3522785203,AreaShape_Zernike_1_1,0.3880468423217746,AreaShape_NormalizedMoment_0_3,0.37897365124793925,AreaShape_NormalizedMoment_2_3,0.336783335887865,AreaShape_CentralMoment_0_3,0.2768784197370167,AreaShape_Zernike_3_1,0.25536174319334914
10,PC-11,0.2954379051,AreaShape_NormalizedMoment_2_1,-0.3824254172981633,AreaShape_CentralMoment_2_1,-0.36854107251061463,AreaShape_NormalizedMoment_2_3,-0.3144282861172212,AreaShape_CentralMoment_2_3,-0.3052690704671993,AreaShape_NormalizedMoment_0_2,-0.2707041269952493
9,PC-10,0.2773207188,AreaShape_Zernike_2_2,-0.41121601395353496,AreaShape_Eccentricity,-0.2847110093952496,AreaShape_Zernike_4_2,-0.24073698850848757,AreaShape_Zernike_3_3,0.2393148278869755,AreaShape_Zernike_8_2,-0.2110139858184214
33,PC-34,0.2480790164,AreaShape_Zernike_5_1,0.4404031163098431,AreaShape_Zernike_5_5,0.38068123651782265,Neighbors_PercentTouching_8,-0.3153015254239257,AreaShape_Zernike_9_7,-0.30307434972156144,Neighbors_NumberOfNeighbors_8,0.27897398667636664
40,PC-41,0.2424682051,AreaShape_Zernike_6_2,0.5320309015951302,AreaShape_Zernike_9_7,-0.3201811003101552,AreaShape_Zernike_1_1,-0.28031613129038824,AreaShape_Zernike_7_7,-0.26407122472452066,AreaShape_Zernike_3_1,0.24291679189280801
36,PC-37,0.1856241985,AreaShape_Extent,0.32574981947482845,AreaShape_Compactness,0.32375876787785174,AreaShape_FormFactor,-0.29614651118506746,AreaShape_Zernike_5_1,0.2945211538997231,AreaShape_Zernike_3_3,-0.29220815556925095
37,PC-38,0.1262761357,AreaShape_Zernike_5_5,0.5047465287568685,AreaShape_Zernike_5_1,-0.30607263011521235,AreaShape_Zernike_7_1,0.2176030629901847,AreaShape_Zernike_3_3,-0.2169893417674364,AreaShape_Zernike_7_7,0.18991123067044857
5,PC-6,0.1093806866,AreaShape_Zernike_4_4,0.35418830492616166,AreaShape_Zernike_6_4,0.31724106169779426,AreaShape_Zernike_8_4,0.30686450795864556,AreaShape_Zernike_8_8,0.30258755433078827,AreaShape_Zernike_2_0,0.29183891100171105
58,PC-59,0.0920881902,Neighbors_SecondClosestDistance_8,-0.46554787452445684,Neighbors_FirstClosestDistance_8,0.31856865393068073,AreaShape_SpatialMoment_2_3,0.2846060614947263,AreaShape_NormalizedMoment_3_3,-0.22189554351476676,AreaShape_NormalizedMoment_3_1,0.21958163342386205
30,PC-31,0.0842690023,AreaShape_CentralMoment_1_2,-0.598571974853773,AreaShape_CentralMoment_0_3,-0.379787210410039,AreaShape_NormalizedMoment_0_3,0.3454759921573123,AreaShape_NormalizedMoment_3_0,-0.31119984500298575,AreaShape_NormalizedMoment_1_2,0.22425058113377727
32,PC-33,0.0612391464,AreaShape_Zernike_3_3,-0.6516657577629555,Neighbors_NumberOfNeighbors_8,0.27679370151276406,AreaShape_Zernike_7_3,0.2561457845900381,AreaShape_Zernike_7_5,0.24687229818310794,AreaShape_Zernike_5_3,0.23513008762742837
18,PC-19,0.0569950986,AreaShape_Zernike_6_6,0.31820328687924077,AreaShape_Zernike_8_2,0.28210997618575423,AreaShape_Zernike_8_6,0.2753793771960169,AreaShape_Zernike_4_2,0.26767043265091645,AreaShape_Eccentricity,-0.24581850536484479
57,PC-58,0.0508323499,Neighbors_SecondClosestDistance_8,0.49696978441486067,Neighbors_FirstClosestDistance_8,-0.4941221592605311,AreaShape_CentralMoment_2_2,-0.22486327369637688,AreaShape_Zernike_4_0,-0.18549206163841553,AreaShape_HuMoment_1,0.18326983904676866
52,PC-53,0.0502966709,AreaShape_Zernike_7_3,0.5658234857247847,AreaShape_Zernike_9_3,-0.3619018592660894,AreaShape_Zernike_7_5,0.310187891389005,AreaShape_Zernike_9_5,-0.3033898700237519,AreaShape_Zernike_5_3,-0.22214831978541275
51,PC-52,0.0378463661,AreaShape_Zernike_9_1,0.4502791021476468,AreaShape_Zernike_9_7,-0.3583769144374976,AreaShape_Zernike_7_7,0.34861134790557463,AreaShape_Zernike_7_1,-0.32010302456490997,AreaShape_Zernike_9_5,0.2855683175214143
